zip,state_name,density
43006,Ohio,13.3
43009,Ohio,23.9
43013,Ohio,24.1
43014,Ohio,21.299999
43029,Ohio,10.9
43045,Ohio,19.9
43066,Ohio,13.3
43067,Ohio,19.700001
43084,Ohio,15.1
43106,Ohio,16.5
43115,Ohio,10.6
43128,Ohio,18.700001
43135,Ohio,18
43143,Ohio,16.5
43145,Ohio,13.7
43149,Ohio,18
43152,Ohio,8.1999998
43153,Ohio,7.0999999
43164,Ohio,15.1
43310,Ohio,18.700001
43314,Ohio,21.9
43318,Ohio,21.9
43319,Ohio,19.200001
43320,Ohio,18.5
43323,Ohio,7.0999999
43332,Ohio,14.2
43333,Ohio,11.4
43337,Ohio,12.3
43340,Ohio,13.8
43341,Ohio,16.6
43343,Ohio,17
43344,Ohio,22.700001
43345,Ohio,12.2
43347,Ohio,20.1
43356,Ohio,19.9
43358,Ohio,15.5
43359,Ohio,13.3
43360,Ohio,20.6
43407,Ohio,16.799999
43413,Ohio,16.9
43432,Ohio,23.200001
43435,Ohio,16.5
43442,Ohio,22.200001
43445,Ohio,23.700001
43446,Ohio,7.6999998
43451,Ohio,17.6
43462,Ohio,17.5
43464,Ohio,16.9
43501,Ohio,12.6
43511,Ohio,8
43516,Ohio,16.200001
43517,Ohio,22.299999
43518,Ohio,15.3
43521,Ohio,16.299999
43523,Ohio,17.5
43524,Ohio,15.9
43527,Ohio,16.799999
43533,Ohio,24
43534,Ohio,18.700001
43535,Ohio,12.2
43536,Ohio,9.8999996
43548,Ohio,11.4
43549,Ohio,18.6
43556,Ohio,22.6
43716,Ohio,11.2
43718,Ohio,23.200001
43720,Ohio,11.1
43724,Ohio,22.9
43727,Ohio,7.5999999
43728,Ohio,12.9
43730,Ohio,20.799999
43732,Ohio,8.8999996
43739,Ohio,24.5
43747,Ohio,13.2
43749,Ohio,9.1999998
43754,Ohio,8
43755,Ohio,17.6
43756,Ohio,14.4
43758,Ohio,14.7
43760,Ohio,20.4
43766,Ohio,17.1
43767,Ohio,17.4
43772,Ohio,21.299999
43773,Ohio,11.9
43778,Ohio,13
43779,Ohio,10.6
43780,Ohio,22.9
43787,Ohio,15.4
43788,Ohio,8.6999998
43793,Ohio,19.1
43802,Ohio,11
43805,Ohio,23
43811,Ohio,17
43821,Ohio,20.200001
43822,Ohio,20.299999
43824,Ohio,19.1
43837,Ohio,14.9
43840,Ohio,15
43843,Ohio,10.2
43844,Ohio,12
43902,Ohio,4.5
43903,Ohio,22.799999
