zip,state_name,density
43001,Ohio,34.900002
43003,Ohio,33.200001
43005,Ohio,80.699997
43006,Ohio,13.3
43009,Ohio,23.9
43011,Ohio,35.099998
43013,Ohio,24.1
43014,Ohio,21.299999
43015,Ohio,148.60001
43019,Ohio,31.799999
43021,Ohio,111.6
43022,Ohio,38.900002
43023,Ohio,98.5
43025,Ohio,58.599998
43028,Ohio,54.400002
43029,Ohio,10.9
43031,Ohio,53.400002
43037,Ohio,44.700001
43040,Ohio,73.400002
43044,Ohio,27.200001
43045,Ohio,19.9
43046,Ohio,51.599998
43050,Ohio,71.900002
43056,Ohio,78.400002
43060,Ohio,37.299999
43061,Ohio,33.900002
43062,Ohio,135.39999
43064,Ohio,47.200001
43066,Ohio,13.3
43067,Ohio,19.700001
43071,Ohio,26.700001
43072,Ohio,31.200001
43074,Ohio,51.900002
43076,Ohio,48.799999
43078,Ohio,52.900002
43080,Ohio,28.799999
43084,Ohio,15.1
43102,Ohio,29.299999
43103,Ohio,49.5
43105,Ohio,54.900002
43106,Ohio,16.5
43107,Ohio,40.599998
43112,Ohio,51.099998
43113,Ohio,55.700001
43115,Ohio,10.6
43125,Ohio,149.60001
43128,Ohio,18.700001
43130,Ohio,142.10001
43135,Ohio,18
43137,Ohio,30.6
43138,Ohio,40.400002
43140,Ohio,41.799999
43143,Ohio,16.5
43144,Ohio,26.200001
43145,Ohio,13.7
43146,Ohio,59.799999
43148,Ohio,34.5
43149,Ohio,18
43150,Ohio,36.200001
43152,Ohio,8.1999998
43153,Ohio,7.0999999
43154,Ohio,49.099998
43155,Ohio,32.400002
43158,Ohio,50.700001
43160,Ohio,40
43162,Ohio,57.200001
43164,Ohio,15.1
43302,Ohio,108.4
43310,Ohio,18.700001
43311,Ohio,73.099998
43314,Ohio,21.9
43315,Ohio,33.599998
43316,Ohio,32.400002
43318,Ohio,21.9
43319,Ohio,19.200001
43320,Ohio,18.5
43321,Ohio,144.60001
43323,Ohio,7.0999999
43324,Ohio,38.299999
43326,Ohio,28.5
43331,Ohio,55.799999
43332,Ohio,14.2
43333,Ohio,11.4
43334,Ohio,38.900002
43337,Ohio,12.3
43338,Ohio,42.099998
43340,Ohio,13.8
43341,Ohio,16.6
43342,Ohio,29.200001
43343,Ohio,17
43344,Ohio,22.700001
43345,Ohio,12.2
43347,Ohio,20.1
43351,Ohio,25.9
43356,Ohio,19.9
43357,Ohio,26.9
43358,Ohio,15.5
43359,Ohio,13.3
43360,Ohio,20.6
43402,Ohio,108.3
43406,Ohio,35.900002
43407,Ohio,16.799999
43408,Ohio,158.5
43410,Ohio,76.900002
43412,Ohio,58.299999
43413,Ohio,16.9
43416,Ohio,40.599998
43420,Ohio,87.599998
43430,Ohio,72.800003
43431,Ohio,37.799999
43432,Ohio,23.200001
43433,Ohio,73.300003
43435,Ohio,16.5
43437,Ohio,163.8
43438,Ohio,27.700001
43440,Ohio,117.7
43442,Ohio,22.200001
43443,Ohio,60.5
43445,Ohio,23.700001
43446,Ohio,7.6999998
43447,Ohio,78.900002
43449,Ohio,37.799999
43450,Ohio,32.799999
43451,Ohio,17.6
43452,Ohio,113.7
43456,Ohio,64.800003
43457,Ohio,30.299999
43458,Ohio,160.89999
43462,Ohio,17.5
43464,Ohio,16.9
43465,Ohio,177.60001
43466,Ohio,30.5
43467,Ohio,118
43469,Ohio,52.599998
43501,Ohio,12.6
43502,Ohio,38.900002
43504,Ohio,27.6
43506,Ohio,56.299999
43511,Ohio,8
43512,Ohio,50.599998
43515,Ohio,37.700001
43516,Ohio,16.200001
43517,Ohio,22.299999
43518,Ohio,15.3
43519,Ohio,55.299999
43521,Ohio,16.299999
43522,Ohio,40.799999
43523,Ohio,17.5
43524,Ohio,15.9
43526,Ohio,30.200001
43527,Ohio,16.799999
43529,Ohio,137.60001
43532,Ohio,33.200001
43533,Ohio,24
43534,Ohio,18.700001
43535,Ohio,12.2
43536,Ohio,9.8999996
43540,Ohio,30.6
43541,Ohio,142.8
43542,Ohio,95.300003
43543,Ohio,34.299999
43545,Ohio,40.700001
43548,Ohio,11.4
43549,Ohio,18.6
43551,Ohio,180.60001
43554,Ohio,27
43556,Ohio,22.6
43557,Ohio,29.6
43558,Ohio,63.200001
43566,Ohio,149.10001
43567,Ohio,45.400002
43569,Ohio,31.299999
43570,Ohio,25.700001
43571,Ohio,122.4
43701,Ohio,119.1
43711,Ohio,164.7
43713,Ohio,31.5
43716,Ohio,11.2
43718,Ohio,23.200001
43719,Ohio,26.9
43720,Ohio,11.1
43721,Ohio,151.2
43723,Ohio,108.6
43724,Ohio,22.9
43725,Ohio,58.900002
43727,Ohio,7.5999999
43728,Ohio,12.9
43730,Ohio,20.799999
43731,Ohio,41.400002
43732,Ohio,8.8999996
43733,Ohio,39.799999
43734,Ohio,118.3
43735,Ohio,129.2
43739,Ohio,24.5
43746,Ohio,26.200001
43747,Ohio,13.2
43748,Ohio,29.799999
43749,Ohio,9.1999998
43750,Ohio,58.5
43754,Ohio,8
43755,Ohio,17.6
43756,Ohio,14.4
43758,Ohio,14.7
43759,Ohio,182.39999
43760,Ohio,20.4
43761,Ohio,69
43762,Ohio,28.799999
43764,Ohio,54.700001
43766,Ohio,17.1
43767,Ohio,17.4
43768,Ohio,167.10001
43771,Ohio,31.1
43772,Ohio,21.299999
43773,Ohio,11.9
43777,Ohio,34.400002
43778,Ohio,13
43779,Ohio,10.6
43780,Ohio,22.9
43782,Ohio,26.6
43783,Ohio,30.1
43786,Ohio,58
43787,Ohio,15.4
43788,Ohio,8.6999998
43793,Ohio,19.1
43802,Ohio,11
43804,Ohio,46.700001
43805,Ohio,23
43811,Ohio,17
43812,Ohio,45.599998
43821,Ohio,20.200001
43822,Ohio,20.299999
43824,Ohio,19.1
43830,Ohio,46.700001
43832,Ohio,28.6
43837,Ohio,14.9
43840,Ohio,15
43843,Ohio,10.2
43844,Ohio,12
43845,Ohio,62.5
43901,Ohio,27.4
43902,Ohio,4.5
43903,Ohio,22.799999
43906,Ohio,104
43907,Ohio,14.7
43908,Ohio,19.5
43910,Ohio,25.4
43912,Ohio,139.39999
43914,Ohio,62.299999
43915,Ohio,10.8
43917,Ohio,34.200001
43927,Ohio,69.699997
43928,Ohio,34
43930,Ohio,9.1000004
43932,Ohio,19.6
43933,Ohio,16.799999
43935,Ohio,176.39999
43938,Ohio,70
43942,Ohio,46.099998
43943,Ohio,32.200001
43944,Ohio,34
43945,Ohio,19
43946,Ohio,13.9
43947,Ohio,120.9
43950,Ohio,73.800003
43962,Ohio,33.5
43964,Ohio,77.699997
43967,Ohio,79.599998
43968,Ohio,80.900002
43970,Ohio,67.199997
43973,Ohio,8.5
43976,Ohio,26.9
43977,Ohio,20.200001
43983,Ohio,8.3000002
43985,Ohio,119.7
43986,Ohio,19
43988,Ohio,18.299999
44003,Ohio,27.1
44004,Ohio,178.3
44010,Ohio,33.700001
44021,Ohio,60.799999
44023,Ohio,129.60001
44024,Ohio,100.7
44026,Ohio,150.8
44028,Ohio,98.5
44030,Ohio,108.4
44032,Ohio,14.9
44040,Ohio,121.6
44041,Ohio,89.599998
44044,Ohio,111.4
44045,Ohio,160.39999
44046,Ohio,55.599998
44047,Ohio,33.700001
44048,Ohio,32.5
44050,Ohio,92.800003
44057,Ohio,154.2
44062,Ohio,75.5
44064,Ohio,28.4
44065,Ohio,78.599998
44072,Ohio,90.300003
44074,Ohio,91.099998
44076,Ohio,28.9
44080,Ohio,87.599998
44081,Ohio,134.10001
44082,Ohio,18.5
44084,Ohio,32.799999
44085,Ohio,25.1
44086,Ohio,33.5
44089,Ohio,177.7
44090,Ohio,42.700001
44093,Ohio,17.6
44099,Ohio,40.599998
44201,Ohio,48.799999
44214,Ohio,29.299999
44216,Ohio,156.60001
44217,Ohio,55.400002
44230,Ohio,185.10001
44231,Ohio,65.300003
44233,Ohio,110.6
44234,Ohio,65.400002
44235,Ohio,28.1
44253,Ohio,50.400002
44254,Ohio,71
44255,Ohio,73.400002
44256,Ohio,179.8
44260,Ohio,156.89999
44264,Ohio,41.900002
44265,Ohio,124.7
44266,Ohio,141.2
44270,Ohio,164.5
44272,Ohio,89.699997
44273,Ohio,66.900002
44275,Ohio,35.200001
44276,Ohio,38.900002
44280,Ohio,71.800003
44286,Ohio,98.699997
44287,Ohio,43.700001
44288,Ohio,96.900002
44401,Ohio,34.700001
44402,Ohio,35.799999
44403,Ohio,103.7
44404,Ohio,36.799999
44406,Ohio,160.10001
44408,Ohio,112
44410,Ohio,98.800003
44411,Ohio,47.200001
44412,Ohio,44.700001
44413,Ohio,118.2
44417,Ohio,19.200001
44418,Ohio,30.1
44423,Ohio,34.200001
44427,Ohio,20.299999
44428,Ohio,23.299999
44429,Ohio,153.10001
44430,Ohio,148.89999
44431,Ohio,69.5
44432,Ohio,51.200001
44436,Ohio,63.900002
44441,Ohio,38.5
44442,Ohio,176.5
44443,Ohio,51.200001
44444,Ohio,94.699997
44445,Ohio,80.300003
44449,Ohio,43.099998
44450,Ohio,17.299999
44451,Ohio,31.200001
44452,Ohio,91.599998
44454,Ohio,53.700001
44455,Ohio,35.299999
44460,Ohio,94.400002
44470,Ohio,54.700001
44473,Ohio,61.299999
44481,Ohio,70.099998
44491,Ohio,45.700001
44493,Ohio,38.5
44601,Ohio,166.7
44606,Ohio,72
44607,Ohio,43.200001
44608,Ohio,47.400002
44609,Ohio,51.200001
44611,Ohio,26.9
44612,Ohio,79.599998
44615,Ohio,29.799999
44618,Ohio,62.700001
44620,Ohio,26.6
44621,Ohio,59.099998
44622,Ohio,131
44624,Ohio,42.700001
44625,Ohio,28.9
44626,Ohio,41.900002
44627,Ohio,56.900002
44628,Ohio,10.7
44629,Ohio,45.299999
44632,Ohio,137.8
44633,Ohio,43.799999
44634,Ohio,43.900002
44637,Ohio,18.700001
44638,Ohio,20.5
44641,Ohio,145.10001
44643,Ohio,38.200001
44644,Ohio,83.599998
44645,Ohio,38.400002
44651,Ohio,13.8
44654,Ohio,48.400002
44656,Ohio,27.6
44657,Ohio,60.700001
44662,Ohio,62.099998
44663,Ohio,105
44666,Ohio,48.200001
44667,Ohio,112
44669,Ohio,30.700001
44671,Ohio,182.39999
44675,Ohio,26.4
44676,Ohio,34.400002
44677,Ohio,59.599998
44678,Ohio,63.200001
44680,Ohio,88.400002
44681,Ohio,50.700001
44683,Ohio,48.200001
